WELL_ID,GOA_WELL_ID,WELL_GIC_ID,WELL_GIC_ID_TEXT,LATTITUDE,LONGITUDE,LSD,SECTION,QTR,TOWNSHIP,RANGE,MERIDIAN,YEAR_WELL_DRILLED,YEAR_WELL_DRILLED_TEXT,WELL_LOCATION,LEGAL_LAND_LOCATION,ELEVATION,ELEVATION_UNITS,CREATE_TIMESTAMP,CREATE_USERID
4542,,142857,,52.585199,-112.963216,7,4,SE,42,21,4,,,,7-04-042-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4543,,287297,,51.110103,-113.328736,,5,NW,25,24,4,1997,,5m South of the house,NW-05-025-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4544,,112272,,51.025149,-113.515508,,12,SW,24,26,4,1984,,2m West of house,SW-12-024-26-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4545,,112196,,51.01337,-113.53737,,2,SW,24,26,4,1976,,APPROX. 3 m WEST OF HOUSE,SW-02-024-26-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4546,,,,51.965258,-113.648664,,32,NE,34,26,4,,,,NE-32-034-26-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4547,,,,51.958718,-113.690837,,36,SE,34,27,4,,,"in well house, southwest of main house",SE-36-034-27-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4548,,,,51.936953,-112.898683,,22,NW,34,21,4,,,,NW-22-034-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4549,,,,51.986355,-113.766854,,10,SE,35,27,4,1975,,East side of house,SE-10-035-27-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4550,,122299,,51.052535,-113.20962,,19,SW,24,23,4,1986,,approx. 50 ft west of house in frontyard,SW-19-024-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4551,,299882,,51.291984,-113.013075,,10,SE,27,22,4,2002,,approx. 70 ft west of house in garden,SE-10-027-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
