WELL_TEST_ID,WQUAL_DETAILS_ID,total alkalinity_value,carbonate_value,nitrite as nitrogen_value,nitrate as nitrogen_value,ph_value,bicarbonate_value,total dissolved solids_value,fluoride_value,total hardness_value,chloride_value,manganese_value,iron_value,sulphate_value,calcium_value,sodium_value,potassium_value,magnesium_value,iron (total)_value,nitrite + nitrate as nitrogen_value,ionic balance_value
10798,1210437,540.0,11.0,0.003,0.003,8.44,640.0,1720.0,0.59,37.7,4.0,0.021,0.11,750.0,13.0,630.0,1.3,1.4,0.14,0.003,110.0
6527,1210441,570.0,8.6,0.003,0.003,8.43,680.0,1230.0,1.5,19.3,2.0,0.01,0.06,430.0,5.8,450.0,1.4,1.1,0.11,0.003,97.0
9978,1210453,578.0,39.0,0.015,0.113,8.8,627.0,1440.0,0.73,21.0,1.0,0.006,0.1,553.0,7.3,528.0,1.2,0.6,0.1,0.113,101.0
9593,1210457,441.0,5.0,0.015,0.113,8.0,538.0,760.0,0.05,568.0,1.0,0.297,0.1,241.0,157.0,50.4,3.3,42.7,6.0,0.113,98.6
10355,1210461,585.0,36.0,0.015,0.113,8.8,641.0,979.0,0.58,13.0,1.0,0.005,0.1,260.0,3.4,361.0,1.1,1.0,0.1,0.113,93.1
11848,1210465,597.0,42.0,0.015,0.113,8.9,642.0,942.0,0.18,5.0,2.0,0.005,0.1,218.0,2.1,361.0,0.8,0.2,0.1,0.113,95.8
9459,1210485,612.0,12.0,0.05,0.05,8.45,722.0,1120.0,1.01,52.3,13.2,0.0235,0.123,324.0,12.7,397.0,1.76,5.01,0.143,0.071,94.6
9313,1210489,618.0,10.1,0.05,0.05,8.4,734.0,1260.0,0.85,53.8,12.2,0.0221,0.1,418.0,14.1,434.0,2.1,4.51,0.129,0.071,93.2
9460,1210493,451.0,5.0,0.01,0.01,7.2,550.0,990.0,0.1,475.0,4.1,0.125,0.72,390.0,87.5,173.0,2.2,62.4,0.82,0.01,1.0
5286,1210497,546.0,5.0,0.01,0.01,8.2,666.0,1200.0,0.6,20.3,2.3,0.018,0.16,402.0,6.5,456.0,1.8,1.0,0.38,0.01,1.0
9461,1210501,459.0,5.0,0.01,0.01,7.5,560.0,1040.0,0.5,135.0,2.4,0.068,1.44,368.0,35.4,342.0,3.7,11.2,1.31,0.01,1.0
9979,1210505,462.0,5.0,0.01,0.01,8.3,562.0,1200.0,1.8,15.1,25.4,0.001,0.02,455.0,5.4,431.0,1.5,0.4,0.17,0.01,1.0
11049,1210509,416.0,15.0,0.01,0.01,8.6,470.0,506.0,2.7,3.57,33.6,0.002,0.01,0.8,1.1,220.0,0.7,0.2,0.03,0.01,1.0
11849,1210513,423.0,5.0,0.01,0.2,8.4,504.0,717.0,2.3,12.3,30.3,0.67,0.01,136.0,4.1,289.0,0.9,0.5,0.03,0.2,1.0
7477,1210517,478.0,5.0,0.01,0.01,8.1,583.0,834.0,1.9,14.7,29.4,0.013,0.05,185.0,4.9,324.0,1.1,0.6,0.11,0.01,1.0
8456,1210521,487.0,5.0,0.01,0.01,8.4,589.0,1180.0,0.6,12.3,16.3,0.007,0.07,424.0,3.8,445.0,1.1,0.7,0.55,0.01,1.0
12856,1210525,439.0,5.0,0.01,0.01,8.4,527.0,982.0,1.2,11.2,11.1,0.01,0.13,326.0,3.3,375.0,1.1,0.7,0.03,0.01,1.0
10356,1210529,426.0,5.0,0.01,14.7,7.5,520.0,831.0,0.3,149.0,37.1,0.04,0.02,190.0,36.7,279.0,3.6,13.9,0.34,14.7,1.0
9980,1210533,388.0,5.0,0.01,0.01,7.1,474.0,888.0,0.2,345.0,62.4,0.195,0.47,280.0,86.4,190.0,4.7,31.5,0.75,0.01,1.0
10582,1210537,517.0,5.0,0.01,0.01,7.8,630.0,1160.0,1.7,25.8,3.4,0.023,0.09,411.0,7.7,419.0,1.9,1.6,0.23,0.01,1.0
12027,1210541,422.0,5.0,0.01,0.5,8.1,515.0,829.0,2.7,25.7,30.2,0.007,0.02,219.0,7.8,312.0,1.0,1.5,0.11,0.5,1.0
10684,1210545,290.0,19.0,0.01,0.3,8.7,308.0,491.0,5.8,3.41,103.0,0.013,0.01,3.3,1.2,206.0,0.8,0.1,0.18,0.3,1.0
10685,1210549,498.0,5.0,0.01,0.01,7.8,608.0,1180.0,0.4,54.2,17.6,0.04,0.24,394.0,16.6,443.0,1.6,3.1,0.29,0.01,1.1
