geometry,WELL_ID,WELL_TEST_ID,LATTITUDE,LONGITUDE,WQUAL_DETAILS_ID,total alkalinity_value,carbonate_value,nitrite as nitrogen_value,nitrate as nitrogen_value,ph_value,bicarbonate_value,total dissolved solids_value,fluoride_value,total hardness_value,chloride_value,manganese_value,iron_value,sulphate_value,calcium_value,sodium_value,potassium_value,magnesium_value,iron (total)_value,nitrite + nitrate as nitrogen_value,ionic balance_value
POINT (-113.308818 52.452686),14605,14605,52.452686,-113.308818,1217866,500.0,10.0,0.2,0.1,7.1,610.0,693.0,0.5,312.0,1.24,0.11,0.2,125.0,63.0,86.9,2.1,37.7,0.561,0.4,79.7
POINT (-113.306618 52.436768),14055,14055,52.436768,-113.306618,1216215,597.93,0.005,0.06,3.02,7.39,597.93,611.94,0.86,9.13,3.6,0.009,0.024,63.08,1.035,212.551,2.296,1.589,0.024,3.08,0.84
POINT (-113.304736 52.435123),17012,17012,52.435123,-113.304736,1220254,450.0,6.0,0.005,0.01,7.75,548.0,516.0,0.09,340.0,0.8,0.073,0.01,56.2,68.1,77.8,2.1,41.3,0.94,0.01,101.0
POINT (-113.304676 52.434792),14057,14057,52.434792,-113.304676,1216216,314.7,0.005,0.06,2.97,7.15,314.7,569.16,0.77,321.9,4.16,0.088,0.455,61.83,57.385,66.073,2.032,43.374,0.455,3.03,1.41
POINT (-113.303229 52.434424),14058,14058,52.434424,-113.303229,1216217,503.52,0.005,0.06,2.65,7.14,503.52,688.82,0.83,336.77,2.36,0.058,0.645,121.15,55.692,95.582,1.81,48.011,0.645,2.71,1.0
POINT (-113.30273 52.43396),8347,8360,52.43396,-113.30273,1202949,518.0,6.0,0.005,0.01,8.07,631.0,614.0,0.11,341.0,0.4,0.055,0.01,84.3,64.4,109.0,2.2,43.7,0.84,0.01,96.0
POINT (-113.302574 52.433717),17001,17001,52.433717,-113.302574,1220243,534.0,6.0,0.005,0.01,8.24,651.0,720.0,0.05,270.0,0.7,0.041,0.01,128.0,53.7,182.0,2.4,33.0,0.58,0.01,100.0
POINT (-113.3026 52.4336),8348,12080,52.4336,-113.3026,1202953,482.0,6.0,0.005,0.01,7.85,588.0,672.0,0.15,208.0,0.4,0.032,0.01,120.0,43.7,192.0,2.1,24.0,0.39,0.01,104.0
POINT (-113.295649 52.438896),14565,14565,52.438896,-113.295649,1217826,435.0,10.0,0.2,2.4,7.3,531.0,624.0,0.5,328.0,4.41,0.83,0.002,106.0,65.8,49.7,2.2,39.6,0.008,2.4,78.2
POINT (-113.290694 52.44945),14566,14566,52.44945,-113.290694,1217827,545.0,10.0,0.2,0.1,7.9,665.0,923.0,0.5,53.7,2.04,0.038,0.116,210.0,16.7,288.0,1.4,2.9,0.823,0.4,89.2
POINT (-113.28925 52.4218),7926,10513,52.4218,-113.28925,1202685,491.0,6.0,0.005,0.01,8.05,598.0,826.0,0.11,616.0,0.4,0.122,0.01,263.0,116.0,70.8,2.6,79.2,2.42,0.01,101.0
POINT (-113.30156 52.432683),8349,10154,52.432683,-113.30156,1202957,462.0,6.0,0.04,6.09,8.13,563.0,576.0,0.18,379.0,11.8,0.005,0.01,78.8,68.9,87.3,2.1,50.2,0.05,6.13,98.0
POINT (-113.306267 52.432602),17018,17018,52.432602,-113.306267,1220260,457.0,6.0,0.005,0.34,7.83,557.0,545.0,0.14,412.0,4.6,0.005,0.01,77.2,77.4,57.0,2.2,53.2,0.05,0.34,99.0
POINT (-113.293263 52.412201),14070,14070,52.412201,-113.293263,1216227,461.56,0.005,0.06,13.05,7.32,461.56,708.04,0.26,225.78,5.02,0.006,0.014,154.1,39.948,27.6,0.252,30.604,0.014,13.11,0.51
POINT (-113.28856 52.410278),14072,14072,52.410278,-113.28856,1216229,398.62,0.005,0.06,4.41,7.28,398.62,766.32,0.3,238.01,4.16,0.006,0.014,215.05,40.346,36.112,0.434,33.334,0.014,4.47,0.56
POINT (-113.290638 52.410363),14071,14071,52.410363,-113.290638,1216228,587.44,0.005,0.06,2.49,7.44,587.44,745.86,0.25,449.52,1.98,0.006,0.014,192.95,72.606,67.073,0.648,65.135,0.014,2.55,0.86
POINT (-113.269599 52.403766),5161,11927,52.403766,-113.269599,1199567,522.0,5.0,0.009,0.599,8.2,522.0,625.0,0.24,495.0,3.62,0.148,0.001,155.0,109.0,75.5,3.0,54.2,0.014,0.599,110.0
POINT (-113.266578 52.406292),8977,8323,52.406292,-113.266578,1199575,567.0,5.0,0.009,0.594,8.3,567.0,845.0,0.1,500.0,2.75,1.02,0.052,188.0,102.0,97.7,2.8,59.6,0.11,0.594,107.0
POINT (-113.25494 52.41798),6913,12288,52.41798,-113.25494,1216327,491.0,6.0,0.005,10.1,8.11,599.0,738.0,0.1,583.0,11.2,0.005,0.03,178.0,110.0,66.6,2.6,75.0,0.1,10.1,100.0
POINT (-113.259012 52.407942),5947,9762,52.407942,-113.259012,1199571,586.0,5.0,0.009,0.017,8.2,586.0,925.0,0.18,278.0,3.81,0.137,0.005,263.0,62.0,247.0,3.0,29.8,2.39,0.017,108.0
POINT (-113.253784 52.399319),5325,8696,52.399319,-113.253784,1217075,535.0,6.0,0.005,0.01,7.69,652.0,757.0,0.13,391.0,0.4,0.235,1.08,166.0,86.4,138.0,3.2,42.6,2.3,0.02,99.0
POINT (-113.255697 52.401359),5860,4888,52.401359,-113.255697,1217148,526.0,6.0,0.005,1.65,7.55,642.0,733.0,0.12,553.0,5.1,0.005,0.01,163.0,108.0,68.5,3.2,69.1,0.1,1.65,100.0
